epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1774.88,0.44391,0.79671,0.12989,0.27398,0.87859,0.99056,0.97049,0.9896,0.86206,0.9805,0.94347,0.96376,0.8003,0.57277,1.02883,0.1151,0.26866,0.7685,0.000165875,0.000165875,0.000165875
56,1806.88,0.44571,0.7908,0.12831,0.27628,0.88055,0.99575,0.96426,0.98874,0.86522,0.98254,0.94758,0.96229,0.7919,0.55695,1.06027,0.11842,0.26821,0.76656,0.000159688,0.000159688,0.000159688
57,1839.15,0.44,0.77073,0.12687,0.27231,0.87744,0.98331,0.9702,0.98858,0.85841,0.98236,0.94142,0.96371,0.79483,0.57715,1.05345,0.11778,0.27742,0.76927,0.0001535,0.0001535,0.0001535
58,1869.63,0.43401,0.7522,0.12596,0.26684,0.87457,0.99047,0.96711,0.98875,0.87027,0.98025,0.9332,0.96022,0.79806,0.54913,1.0606,0.12037,0.26373,0.76306,0.000147312,0.000147312,0.000147312
59,1897.55,0.43709,0.76607,0.12452,0.26992,0.87645,0.99031,0.96917,0.98973,0.86027,0.98483,0.9339,0.9605,0.79734,0.55681,1.02861,0.1181,0.26254,0.76742,0.000141125,0.000141125,0.000141125
60,1925.5,0.43593,0.7572,0.12497,0.26773,0.87254,0.99132,0.96917,0.9887,0.86869,0.97437,0.94656,0.96135,0.8043,0.55084,1.01815,0.11851,0.26664,0.76759,0.000134937,0.000134937,0.000134937
61,1956.19,0.43537,0.76042,0.12608,0.27049,0.87598,0.98715,0.97122,0.98848,0.8644,0.97439,0.93847,0.96079,0.80339,0.56643,1.03455,0.12067,0.26778,0.76556,0.00012875,0.00012875,0.00012875
62,1988.37,0.42659,0.72107,0.12327,0.26357,0.87072,0.99263,0.96865,0.98945,0.86507,0.9755,0.94127,0.96256,0.79534,0.5641,1.05654,0.12059,0.263,0.76731,0.000122563,0.000122563,0.000122563
63,2020.66,0.42812,0.74062,0.12259,0.2651,0.87249,0.9949,0.96814,0.98922,0.86054,0.97347,0.94289,0.96052,0.80143,0.56909,1.03098,0.11985,0.26587,0.76827,0.000116375,0.000116375,0.000116375
64,2053.55,0.43008,0.73001,0.12187,0.26296,0.87253,0.99202,0.96917,0.98927,0.86555,0.97765,0.94406,0.96422,0.802,0.57286,1.04729,0.1191,0.26819,0.76821,0.000110188,0.000110188,0.000110188
65,2086.25,0.42431,0.7369,0.12297,0.26104,0.87409,0.99578,0.96981,0.98923,0.86002,0.97874,0.94613,0.96379,0.80192,0.58273,1.05537,0.11796,0.27453,0.77017,0.000104,0.000104,0.000104
66,2118.23,0.42412,0.71558,0.12152,0.26285,0.87301,0.99329,0.9702,0.98923,0.86219,0.97568,0.94347,0.9637,0.80478,0.57742,1.03765,0.11959,0.27105,0.77039,9.78125e-05,9.78125e-05,9.78125e-05
67,2150.46,0.42304,0.71333,0.12409,0.26259,0.87066,0.99123,0.97328,0.98933,0.86433,0.97708,0.94142,0.96483,0.81396,0.57795,1.03473,0.11936,0.26849,0.76841,9.1625e-05,9.1625e-05,9.1625e-05
68,2182.71,0.41922,0.70034,0.12224,0.2563,0.86932,0.98953,0.97145,0.98938,0.86534,0.97607,0.94347,0.96395,0.80296,0.57258,1.04943,0.12054,0.27208,0.76912,8.54375e-05,8.54375e-05,8.54375e-05
69,2211.77,0.41065,0.68662,0.12006,0.25662,0.86583,0.98971,0.96608,0.98951,0.87069,0.97728,0.93936,0.96477,0.80955,0.5566,1.04292,0.1204,0.2668,0.76541,7.925e-05,7.925e-05,7.925e-05
70,2246.56,0.41643,0.7144,0.1224,0.25763,0.87231,0.99667,0.96814,0.9896,0.86879,0.98078,0.94391,0.96388,0.80508,0.55898,1.04383,0.11981,0.26399,0.76559,7.30625e-05,7.30625e-05,7.30625e-05
71,2298.85,0.34674,0.48157,0.10156,0.21044,0.82668,0.99351,0.96608,0.98933,0.87084,0.97529,0.94347,0.9623,0.80631,0.54896,1.05219,0.11812,0.26615,0.7631,6.6875e-05,6.6875e-05,6.6875e-05
72,2333.36,0.34336,0.48304,0.10155,0.21006,0.82359,0.98812,0.9702,0.98931,0.8657,0.97355,0.94568,0.96366,0.8104,0.56917,1.03707,0.11858,0.26625,0.7664,6.06875e-05,6.06875e-05,6.06875e-05
73,2367.56,0.34298,0.47002,0.10032,0.20774,0.82305,0.99187,0.96917,0.98996,0.86544,0.97549,0.94553,0.9646,0.81327,0.57486,1.03154,0.11852,0.26796,0.76962,5.45e-05,5.45e-05,5.45e-05
74,2401.78,0.34022,0.47011,0.10002,0.20614,0.82183,0.99066,0.96917,0.99021,0.86709,0.97549,0.94347,0.96516,0.81898,0.57079,1.03235,0.11824,0.27153,0.76867,4.83125e-05,4.83125e-05,4.83125e-05
75,2435.92,0.33506,0.465,0.09999,0.20274,0.82513,0.98921,0.9702,0.98994,0.87238,0.98032,0.94142,0.96639,0.81971,0.55209,1.01826,0.11738,0.26205,0.76437,4.2125e-05,4.2125e-05,4.2125e-05
76,2471.51,0.33594,0.45888,0.10054,0.20242,0.82231,0.98789,0.96917,0.99068,0.87615,0.97351,0.94423,0.96576,0.81846,0.54914,1.02804,0.11867,0.26114,0.76357,3.59375e-05,3.59375e-05,3.59375e-05
77,2507.3,0.33114,0.45492,0.09861,0.20108,0.82098,0.98435,0.9702,0.99026,0.86755,0.97138,0.94178,0.96507,0.81964,0.58325,1.03085,0.11905,0.26921,0.77004,2.975e-05,2.975e-05,2.975e-05
78,2544.13,0.33201,0.45047,0.09779,0.20184,0.82007,0.9916,0.97006,0.99046,0.86795,0.9704,0.9435,0.96531,0.82083,0.58099,1.02491,0.11885,0.26879,0.77068,2.35625e-05,2.35625e-05,2.35625e-05
79,2580.75,0.32954,0.44784,0.0982,0.20168,0.81856,0.9877,0.97122,0.99032,0.86436,0.98273,0.93558,0.96658,0.82053,0.5884,1.03084,0.11995,0.27283,0.77162,1.7375e-05,1.7375e-05,1.7375e-05
80,2616.39,0.3271,0.45309,0.09976,0.19837,0.82031,0.98923,0.96711,0.99028,0.8678,0.97356,0.94621,0.96748,0.82082,0.57688,1.03395,0.11995,0.27069,0.76942,1.11875e-05,1.11875e-05,1.11875e-05
